Date,State,ConfirmedToDate,NewConfirmed,PrevNewConfirmed,DaysToDouble_New,NewConfirmed_2DayAvg,DaysToDouble_2DayAvg,DeathsToDate,NewDeaths,PrevNewDeaths,DaysToDoubleDeath_New,NewDeaths_2DayAvg,DaysToDoubleDeath_2DayAvg,Recovered,Critical,NewCritical,NewCritical_2DayAvg,ActiveCases,DaysIn,DaysIn5,DaysIn100,DaysIn250,DaysIn1000,DaysInDeaths,DaysInDeaths5,DaysInDeaths100,DaysInDeaths250,DaysInDeaths1000,DaysInCritical,DaysInCritical5,DaysInCritical100,DaysInCritical250,DaysInCritical000
3/17/20,Canberra (ACT),3,3,0,1.0,3,1.0,,,0,1.0,,1.0,,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Canberra (ACT),3,0,3,,1.5,,,0,,,0,,,0,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1
3/19/2020,Canberra (ACT),4,1,0,2.1,0.5,4.2,,0,0,,0,,,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1
3/20/2020,Canberra (ACT),6,2,1,1.4,1.5,1.9,,0,0,,0,,,0,0,0,6,4,1,0,0,0,4,0,0,0,0,0,0,0,0,1
3/21/2020,Canberra (ACT),9,3,2,1.4,2.5,1.7,,0,0,,0,,,0,0,0,9,5,2,0,0,0,5,0,0,0,0,0,0,0,0,1
3/22/2020,Canberra (ACT),19,10,3,0.6,6.5,1.0,,0,0,,0,,,0,0,0,19,6,3,0,0,0,6,0,0,0,0,0,0,0,0,1
3/23/2020,Canberra (ACT),32,13,10,1.0,11.5,1.2,,0,0,,,,,0,0,0,32,7,4,0,0,0,7,0,0,0,0,0,0,0,0,1
3/17/20,External territories,0,0,0,1.0,0,1.0,,,0,1.0,,1.0,,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
3/18/20,External territories,0,0,0,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1
3/19/2020,External territories,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1
3/20/2020,External territories,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1
3/21/2020,External territories,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1
3/22/2020,External territories,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,1
3/23/2020,External territories,0,0,0,,0,,,0,0,,,,,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1
3/17/20,Jervis Bay Territory,0,0,0,1.0,0,1.0,,,0,1.0,,1.0,,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0
3/18/20,Jervis Bay Territory,0,0,0,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1
3/19/2020,Jervis Bay Territory,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1
3/20/2020,Jervis Bay Territory,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1
3/21/2020,Jervis Bay Territory,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,1
3/22/2020,Jervis Bay Territory,0,0,0,,0,,,0,0,,0,,,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,1
3/23/2020,Jervis Bay Territory,0,0,0,,0,,,0,0,,,,,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1
3/17/20,New South Wales,210,210,0,1.0,210,1.0,4,4,0,1.0,4,1.0,,0,0,0,206,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,New South Wales,267,57,210,2.5,133.5,2.5,5,1,4,2.8,2.5,2.8,,0,0,0,262,2,2,2,1,0,2,1,0,0,0,0,0,0,0,1
3/19/2020,New South Wales,307,40,57,4.6,48.5,3.8,5,0,1,,0.5,7.0,,5,5,2.5,302,3,3,3,2,0,3,2,0,0,0,1,1,0,0,1
3/20/2020,New South Wales,382,75,40,2.8,57.5,3.7,6,1,0,3.5,0.5,7.0,4,5,5,5,372,4,4,4,3,0,4,3,0,0,0,2,2,0,0,1
3/21/2020,New South Wales,533,151,75,1.7,113,2.3,6,0,1,,0.5,8.4,4,5,5,5,523,5,5,5,4,0,5,4,0,0,0,3,3,0,0,1
3/22/2020,New South Wales,669,136,151,2.7,143.5,2.6,6,0,0,,0,,4,5,5,5,659,6,6,6,5,0,6,5,0,0,0,4,4,0,0,1
3/23/2020,New South Wales,669,0,136,3.4,143.5,3.2,6,0,0,,,,4,5,5,5,659,7,7,7,6,0,7,6,0,0,0,5,5,0,0,1
3/17/20,Northern Territory,1,1,0,1.0,1,1.0,,,0,1.0,,1.0,,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0
3/18/20,Northern Territory,1,0,1,,0.5,,,0,,,0,,,0,0,0,1,2,0,0,0,0,9,0,0,0,0,0,0,0,0,1
3/19/2020,Northern Territory,1,0,0,,0,,,0,0,,0,,,0,0,0,1,3,0,0,0,0,10,0,0,0,0,0,0,0,0,1
3/20/2020,Northern Territory,3,2,0,0.3,1,0.7,,0,0,,0,,,0,0,0,3,4,0,0,0,0,11,0,0,0,0,0,0,0,0,1
3/21/2020,Northern Territory,5,2,2,1.1,2,1.1,,0,0,,0,,,0,0,0,5,5,1,0,0,0,12,0,0,0,0,0,0,0,0,1
3/22/2020,Northern Territory,5,0,2,,1,3.5,,0,0,,0,,,0,0,0,5,6,2,0,0,0,13,0,0,0,0,0,0,0,0,1
3/23/2020,Northern Territory,5,0,0,,1,3.5,,0,0,,,,,0,0,0,5,7,3,0,0,0,14,0,0,0,0,0,0,0,0,1
3/17/20,Queensland,78,78,0,1.0,78,1.0,,,0,1.0,,1.0,,0,0,0,78,1,1,0,0,0,15,0,0,0,0,0,0,0,0,0
3/18/20,Queensland,94,16,78,3.4,47,3.4,,0,,,0,,,0,0,0,94,2,2,0,0,0,16,0,0,0,0,0,0,0,0,1
3/19/2020,Queensland,144,50,16,1.3,33,2.0,,0,0,,0,,,0,0,0,144,3,3,1,0,0,17,0,0,0,0,0,0,0,0,1
3/20/2020,Queensland,184,40,50,2.5,45,2.2,,0,0,,0,,8,0,0,0,176,4,4,2,0,0,18,0,0,0,0,0,0,0,0,1
3/21/2020,Queensland,221,37,40,3.3,38.5,3.2,,0,0,,0,,8,0,0,0,213,5,5,3,0,0,19,0,0,0,0,0,0,0,0,1
3/22/2020,Queensland,259,38,37,3.9,37.5,4.0,,0,0,,0,,8,0,0,0,251,6,6,4,1,0,20,0,0,0,0,0,0,0,0,1
3/23/2020,Queensland,319,60,38,2.9,49,3.6,,0,0,,,,8,0,0,0,311,7,7,5,2,0,21,0,0,0,0,0,0,0,0,1
3/17/20,South Australia,32,32,0,1.0,32,1.0,,,0,1.0,,1.0,3,0,0,0,29,1,1,0,0,0,22,0,0,0,0,0,0,0,0,0
3/18/20,South Australia,37,5,32,4.1,18.5,4.1,,0,,,0,,3,0,0,0,34,2,2,0,0,0,23,0,0,0,0,0,0,0,0,1
3/19/2020,South Australia,42,5,5,4.8,5,4.8,,0,0,,0,,3,0,0,0,39,3,3,0,0,0,24,0,0,0,0,0,0,0,0,1
3/20/2020,South Australia,50,8,5,3.4,6.5,4.2,,0,0,,0,,6,0,0,0,44,4,4,0,0,0,25,0,0,0,0,0,0,0,0,1
3/21/2020,South Australia,67,17,8,1.8,12.5,2.5,,0,0,,0,,6,0,0,0,61,5,5,0,0,0,26,0,0,0,0,0,0,0,0,1
3/22/2020,South Australia,100,33,17,1.3,25,1.7,,0,0,,0,,6,0,0,0,94,6,6,1,0,0,27,0,0,0,0,0,0,0,0,1
3/23/2020,South Australia,134,34,33,1.9,33.5,2.0,,0,0,,,,6,0,0,0,128,7,7,2,0,0,28,0,0,0,0,0,0,0,0,1
3/17/20,Tasmania,7,7,0,1.0,7,1.0,,,0,1.0,,1.0,,0,0,0,7,1,1,0,0,0,29,0,0,0,0,0,0,0,0,0
3/18/20,Tasmania,10,3,7,1.6,5,1.6,,0,,,0,,,0,0,0,10,2,2,0,0,0,30,0,0,0,0,0,0,0,0,1
3/19/2020,Tasmania,10,0,3,,1.5,4.7,,0,0,,0,,,0,0,0,10,3,3,0,0,0,31,0,0,0,0,0,0,0,0,1
3/20/2020,Tasmania,10,0,0,,0,,,0,0,,0,,3,0,0,0,7,4,4,0,0,0,32,0,0,0,0,0,0,0,0,1
3/21/2020,Tasmania,16,6,0,0.8,3,1.6,,0,0,,0,,3,0,0,0,13,5,5,0,0,0,33,0,0,0,0,0,0,0,0,1
3/22/2020,Tasmania,22,6,6,1.5,6,1.5,,0,0,,0,,3,0,0,0,19,6,6,0,0,0,34,0,0,0,0,0,0,0,0,1
3/23/2020,Tasmania,28,6,6,2.2,6,2.2,,0,0,,,,3,0,0,0,25,7,7,0,0,0,35,0,0,0,0,0,0,0,0,1
3/17/20,TBD,,,0,1.0,,1.0,,,0,1.0,,1.0,23,0,0,0,-23,8,0,0,0,0,36,0,0,0,0,0,0,0,0,0
3/18/20,TBD,,0,,,0,,,0,,,0,,23,0,0,0,-23,9,0,0,0,0,37,0,0,0,0,0,0,0,0,1
3/19/2020,TBD,,0,0,,0,,,0,0,,0,,23,0,0,0,-23,10,0,0,0,0,38,0,0,0,0,0,0,0,0,1
3/20/2020,TBD,,0,0,,0,,,0,0,,0,,23,0,0,0,-23,11,0,0,0,0,39,0,0,0,0,0,0,0,0,1
3/21/2020,TBD,,0,0,,0,,,0,0,,0,,,0,0,0,0,12,0,0,0,0,40,0,0,0,0,0,0,0,0,1
3/17/20,Victoria,94,94,0,1.0,94,1.0,,,0,1.0,,1.0,,0,0,0,94,1,1,0,0,0,41,0,0,0,0,0,0,0,0,0
3/18/20,Victoria,121,27,94,2.4,60.5,2.4,,0,,,0,,,0,0,0,121,2,2,1,0,0,42,0,0,0,0,0,0,0,0,1
3/19/2020,Victoria,150,29,27,2.9,28,3.0,,0,0,,0,,,0,0,0,150,3,3,2,0,0,43,0,0,0,0,0,0,0,0,1
3/20/2020,Victoria,178,28,29,3.7,28.5,3.7,,0,0,,0,,7,0,0,0,171,4,4,3,0,0,44,0,0,0,0,0,0,0,0,1
3/21/2020,Victoria,296,118,28,1.0,73,1.6,,0,0,,0,,51,0,0,0,245,5,5,4,1,0,45,0,0,0,0,0,0,0,0,1
3/22/2020,Victoria,355,59,118,2.9,88.5,1.9,,0,0,,0,,70,0,0,0,285,6,6,5,2,0,46,0,0,0,0,0,0,0,0,1
3/23/2020,Victoria,355,0,59,3.4,88.5,2.3,,0,0,,,,97,0,0,0,258,7,7,6,3,0,47,0,0,0,0,0,0,0,0,1
3/17/20,Western Australia,31,31,0,1.0,31,1.0,1,1,0,1.0,1,1.0,1,0,0,0,29,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
3/18/20,Western Australia,35,4,31,5.1,17.5,5.1,1,0,1,,0.5,,1,0,0,0,33,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1
3/19/2020,Western Australia,52,17,4,1.4,10.5,2.2,1,0,0,,0,,1,0,0,0,50,3,3,0,0,0,3,0,0,0,0,0,0,0,0,1
3/20/2020,Western Australia,64,12,17,2.9,14.5,2.4,1,0,0,,0,,1,0,0,0,62,4,4,0,0,0,4,0,0,0,0,0,0,0,0,1
3/21/2020,Western Australia,90,26,12,1.7,19,2.3,1,0,0,,0,,1,0,0,0,88,5,5,0,0,0,5,0,0,0,0,0,0,0,0,1
3/22/2020,Western Australia,120,30,26,2.1,28,2.2,1,0,0,,0,,1,0,0,0,118,6,6,1,0,0,6,0,0,0,0,0,0,0,0,1
3/23/2020,Western Australia,140,20,30,4.1,25,3.3,1,0,0,,,,1,0,0,0,138,7,7,2,0,0,7,0,0,0,0,0,0,0,0,1
